question,expected_document,hit,correct_rank,top_result,returned_paths,method
Where am I expected to present these weekly status reports?,team-norms/delivery_healthcheck.md,0,,roles/mid_delivery_manager.md,"[""roles/mid_delivery_manager.md"", ""roles/senior_delivery_manager.md"", ""guides/line-management/121s.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""guides/welfare/leave-and-time-off.md""]",hybrid_0.2
Is there a specific set of criteria we should be checking against for our current progress?,team-norms/delivery_healthcheck.md,1,5.0,guides/process/people/capability_procedure.md,"[""guides/process/people/capability_procedure.md"", ""guides/onboarding.md"", ""guides/welfare/expectation_health_check.md"", ""team-norms/development_practices.md"", ""team-norms/delivery_healthcheck.md""]",hybrid_0.2
How far ahead are we supposed to plan our upcoming targets?,team-norms/delivery_healthcheck.md,1,5.0,company/about.md,"[""company/about.md"", ""team-norms/delivery_standards.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""team-norms/principles.md"", ""team-norms/delivery_healthcheck.md""]",hybrid_0.2
Do I need to document the specific takeaways from our team's past review meetings?,team-norms/delivery_healthcheck.md,0,,guides/line-management/annual_reviews.md,"[""guides/line-management/annual_reviews.md"", ""guides/compensation/salary_reviews.md"", ""team-norms/README.md"", ""team-norms/development_practices.md"", ""guides/mentorship/mentees/README.md""]",hybrid_0.2
What do we do if our team thinks a standard norm doesn't really fit the project we're working on?,team-norms/delivery_standards.md,1,2.0,team-norms/README.md,"[""team-norms/README.md"", ""team-norms/delivery_standards.md"", ""guides/welfare/ethical_boundaries.md"", ""team-norms/development_practices.md"", ""guides/welfare/expectations.md""]",hybrid_0.2
Is it okay for our morning standups to turn into status updates for the client?,team-norms/delivery_standards.md,0,,guides/welfare/leave-and-time-off.md,"[""guides/welfare/leave-and-time-off.md"", ""guides/welfare/ethical_boundaries.md"", ""guides/welfare/expectation_health_check.md"", ""guides/office/kitchen.md"", ""benefits/flexible_working.md""]",hybrid_0.2
Are we required to use local machines for showcases or should we stick to specific environments?,team-norms/delivery_standards.md,0,,roles/mid_designer.md,"[""roles/mid_designer.md"", ""benefits/hybrid_working.md"", ""roles/mid_content_designer.md"", ""roles/mid_user_researcher.md"", ""roles/associate_designer.md""]",hybrid_0.2
How long are our pull requests allowed to stay open before they need to be merged?,team-norms/delivery_standards.md,0,,team-norms/development_practices.md,"[""team-norms/development_practices.md"", ""guides/security/last_day.md"", ""benefits/flexible_working.md"", ""guides/equality-diversity-and-inclusion/about-di-community.md"", ""guides/security/confidentiality_agreements.md""]",hybrid_0.2
What specific steps must be completed before we can officially mark a feature as done?,team-norms/delivery_standards.md,0,,roles/mid_software_engineer.md,"[""roles/mid_software_engineer.md"", ""team-norms/development_practices.md"", ""roles/associate_software_engineer.md"", ""company/about.md"", ""team-norms/delivery_healthcheck.md""]",hybrid_0.2
How many times a day are we expected to push up our commits?,team-norms/development_practices.md,1,1.0,team-norms/development_practices.md,"[""team-norms/development_practices.md"", ""guides/line-management/121s.md"", ""guides/it/slack.md"", ""benefits/flexible_working.md"", ""guides/contributing_to_the_handbook.md""]",hybrid_0.2
"If I get stuck on a task, how long should I spin my wheels before I reach out for some help?",team-norms/development_practices.md,0,,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""guides/jury_service.md"", ""benefits/work_ready.md"", ""guides/line-management/121s.md"", ""guides/process/scheduling/how_scheduling_works.md""]",hybrid_0.2
What is the best way to handle the most difficult tasks in a sprint?,team-norms/development_practices.md,0,,guides/process/scheduling/how_scheduling_works.md,"[""guides/process/scheduling/how_scheduling_works.md"", ""guides/it/slack.md"", ""team-norms/delivery_standards.md"", ""roles/senior_delivery_manager.md"", ""team-norms/README.md""]",hybrid_0.2
What specific details do I need to include when I give my daily standup update?,team-norms/development_practices.md,1,4.0,company/welcome_pack.md,"[""company/welcome_pack.md"", ""team-norms/delivery_healthcheck.md"", ""benefits/work_ready.md"", ""team-norms/development_practices.md"", ""guides/onboarding.md""]",hybrid_0.2
What is the official process for keeping track of our architectural choices?,team-norms/development_practices.md,1,1.0,team-norms/development_practices.md,"[""team-norms/development_practices.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""roles/sfia (legacy)/ucd_principal.md"", ""roles/mid_software_engineer.md"", ""roles/practice_head_business_analysis_change.md""]",hybrid_0.2
Does the company value diversity in the way we assemble our project teams?,team-norms/principles.md,0,,guides/equality-diversity-and-inclusion/about-service-team.md,"[""guides/equality-diversity-and-inclusion/about-service-team.md"", ""guides/equality-diversity-and-inclusion/README.md"", ""guides/equality-diversity-and-inclusion/about-di-community.md"", ""benefits/hybrid_working.md"", ""guides/hiring/rationale.md""]",hybrid_0.2
How should I handle situations where we need to compromise on quality or deadlines?,team-norms/principles.md,0,,guides/process/scheduling/how_scheduling_works.md,"[""guides/process/scheduling/how_scheduling_works.md"", ""team-norms/delivery_standards.md"", ""guides/welfare/raising_an_issue.md"", ""team-norms/development_practices.md"", ""guides/office/kitchen.md""]",hybrid_0.2
Are we supposed to help clients become self-sufficient instead of keeping them dependent on us?,team-norms/principles.md,1,3.0,guides/welfare/ethical_boundaries.md,"[""guides/welfare/ethical_boundaries.md"", ""roles/delivery_director.md"", ""team-norms/principles.md"", ""benefits/hybrid_working.md"", ""guides/chalet_time_policy.md""]",hybrid_0.2
What is the best way to interpret our principle of doing less to achieve more?,team-norms/principles.md,1,1.0,team-norms/principles.md,"[""team-norms/principles.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""company/about.md"", ""guides/process/mentoring/supporting_and_mentoring_other_engineers.md"", ""roles/principal_ucp.md""]",hybrid_0.2
How does being open about our project failures help us earn more trust?,team-norms/principles.md,1,1.0,team-norms/principles.md,"[""team-norms/principles.md"", ""roles/principal_delivery_manager.md"", ""roles/lead_user_researcher.md"", ""roles/mid_user_researcher.md"", ""roles/senior_product_manager.md""]",hybrid_0.2
How often are we supposed to hold team retrospectives?,team-norms/retrospectives.md,1,1.0,team-norms/retrospectives.md,"[""team-norms/retrospectives.md"", ""guides/line-management/annual_reviews.md"", ""guides/line-management/121s.md"", ""benefits/getting_together.md"", ""guides/welfare/leave-and-time-off.md""]",hybrid_0.2
What should I do if the team feels like it isn't safe to share feedback?,team-norms/retrospectives.md,0,,guides/security/access_control.md,"[""guides/security/access_control.md"", ""team-norms/README.md"", ""guides/line-management/performance.md"", ""team-norms/principles.md"", ""guides/welfare/raising_an_issue.md""]",hybrid_0.2
How many retrospectives am I expected to attend in a cycle?,team-norms/retrospectives.md,1,1.0,team-norms/retrospectives.md,"[""team-norms/retrospectives.md"", ""guides/line-management/121s.md"", ""guides/line-management/annual_reviews.md"", ""benefits/cycle_to_work_scheme.md"", ""guides/mentorship/mentees/README.md""]",hybrid_0.2
Do I have to stick to the standard 60-minute duration for my team's retro?,team-norms/retrospectives.md,0,,guides/welfare/leave-and-time-off.md,"[""guides/welfare/leave-and-time-off.md"", ""guides/jury_service.md"", ""guides/chalet_time_policy.md"", ""benefits/flexible_working.md"", ""guides/process/scheduling/how_scheduling_works.md""]",hybrid_0.2
What is the best way to keep track of if our action points are actually working?,team-norms/retrospectives.md,0,,team-norms/development_practices.md,"[""team-norms/development_practices.md"", ""team-norms/delivery_healthcheck.md"", ""guides/it/slack.md"", ""team-norms/principles.md"", ""guides/mentorship/mentees/README.md""]",hybrid_0.2
How many days of paid annual leave am I entitled to take?,README.md,0,,benefits/taking_holiday.md,"[""benefits/taking_holiday.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/welfare/sick_leave.md"", ""benefits/income_protection_and_life_insurance.md""]",hybrid_0.5
Is there a budget available to help me purchase extra equipment for my home office?,README.md,0,,benefits/work_ready.md,"[""benefits/work_ready.md"", ""guides/compensation/expenses.md"", ""guides/compensation/expenses/eyetest.md"", ""guides/it/Hardware.md"", ""benefits/cycle_to_work_scheme.md""]",hybrid_0.5
How often does the company conduct salary reviews for employees?,README.md,0,,guides/compensation/salary_reviews.md,"[""guides/compensation/salary_reviews.md"", ""guides/line-management/annual_reviews.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/line-management/121s.md"", ""roles/delivery_support_analyst.md""]",hybrid_0.5
What is the best way for me to suggest an update or report a typo in this handbook?,README.md,0,,guides/contributing_to_the_handbook.md,"[""guides/contributing_to_the_handbook.md"", ""team-norms/development_practices.md"", ""team-norms/delivery_healthcheck.md"", ""guides/welfare/raising_an_issue.md"", ""team-norms/README.md""]",hybrid_0.5
Can I get financial help from the company to buy a bike for my commute?,README.md,0,,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""guides/compensation/expenses.md"", ""benefits/work_ready.md"", ""benefits/help_to_buy_tech.md"", ""guides/welfare/paid_counselling.md""]",hybrid_0.5
Are there any limits on how many times I can speak with a doctor through the app?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/line-management/121s.md"", ""guides/welfare/dse_hs_training.md"", ""guides/jury_service.md"", ""guides/process/people/capability_procedure.md""]",hybrid_0.5
Can I use this benefit to get some help with my mental health through a therapist?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/sick_leave.md"", ""guides/welfare/state_of_mind.md"", ""benefits/income_protection_and_life_insurance.md""]",hybrid_0.5
What is the process for setting up my account and logging into the platform?,benefits/Unum_Help_at_hand.md,0,,guides/cloud/aws_sandbox.md,"[""guides/cloud/aws_sandbox.md"", ""guides/onboarding.md"", ""roles/senior_application_support_engineer.md"", ""guides/it/docker.md"", ""guides/security/device_profiles.md""]",hybrid_0.5
Does this service cover sessions for physical therapy or should I go elsewhere?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/dse_hs_training.md"", ""roles/practice_head_application_platform_support.md"", ""guides/line-management/121s.md""]",hybrid_0.5
Is it possible to consult with a different specialist if I need a second opinion on a medical issue?,benefits/Unum_Help_at_hand.md,1,1.0,benefits/Unum_Help_at_hand.md,"[""benefits/Unum_Help_at_hand.md"", ""guides/welfare/expectation_health_check.md"", ""guides/process/people/capability_procedure.md"", ""benefits/private_medical_insurance.md"", ""guides/welfare/raising_an_issue.md""]",hybrid_0.5
What is the maximum amount I can spend on a new bike through the scheme?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""guides/compensation/expenses.md"", ""benefits/income_protection_and_life_insurance.md""]",hybrid_0.5
Can I use the cycle scheme if I only want to pick up some new accessories instead of a whole bike?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/compensation/expenses.md""]",hybrid_0.5
What happens to the remaining balance if I decide to leave the company before my 12 month payment period is up?,benefits/cycle_to_work_scheme.md,0,,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/season_ticket_loan.md"", ""guides/line-management/probation.md"", ""guides/jury_service.md"", ""benefits/taking_holiday.md""]",hybrid_0.5
Are these bikes only for my personal use or am I allowed to pick one up for a family member?,benefits/cycle_to_work_scheme.md,1,1.0,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""guides/security/acceptable_use_policy.md"", ""guides/equality-diversity-and-inclusion/about-open-and-closed-community.md"", ""benefits/work_ready.md"", ""benefits/getting_together.md""]",hybrid_0.5
"If I want to change the amount I applied for, is it possible to edit my request after it has been submitted?",benefits/cycle_to_work_scheme.md,0,,guides/compensation/salary_reviews.md,"[""guides/compensation/salary_reviews.md"", ""guides/Relocation.md"", ""benefits/season_ticket_loan.md"", ""benefits/pension_scheme.md"", ""guides/process/scheduling/hiring_contractors.md""]",hybrid_0.5
How much lead time should I give the company before switching to a part-time schedule?,benefits/flexible_working.md,1,4.0,guides/chalet_time_policy.md,"[""guides/chalet_time_policy.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""guides/welfare/leave-and-time-off.md"", ""benefits/flexible_working.md"", ""benefits/taking_holiday.md""]",hybrid_0.5
Will my bonus pay get adjusted if I decide to work fewer days?,benefits/flexible_working.md,1,2.0,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_reviews.md"", ""benefits/taking_holiday.md"", ""guides/jury_service.md""]",hybrid_0.5
Does my pension contribution change automatically if I decide to lower my total hours?,benefits/flexible_working.md,1,3.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/flexible_working.md"", ""guides/compensation/salary_reviews.md"", ""benefits/income_protection_and_life_insurance.md""]",hybrid_0.5
Is there a test phase for my new schedule before it becomes official?,benefits/flexible_working.md,0,,guides/process/scheduling/how_scheduling_works.md,"[""guides/process/scheduling/how_scheduling_works.md"", ""guides/jury_service.md"", ""team-norms/delivery_healthcheck.md"", ""guides/onboarding.md"", ""guides/compensation/salary_pay_slips.md""]",hybrid_0.5
Am I allowed to condense my full-time hours into fewer days instead of reducing them?,benefits/flexible_working.md,1,1.0,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""benefits/taking_holiday.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/jury_service.md"", ""guides/welfare/sick_leave.md""]",hybrid_0.5
Who is responsible for setting up our monthly get-togethers?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""benefits/lunchers.md"", ""guides/office/kitchen.md"", ""benefits/hybrid_working.md"", ""guides/process/scheduling/how_scheduling_works.md""]",hybrid_0.5
Should I contact someone specific if I want to help plan our social events?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""guides/welfare/raising_an_issue.md"", ""benefits/lunchers.md"", ""guides/buddy_guidance.md"", ""guides/mentorship/mentors/README.md""]",hybrid_0.5
Where should I send my ideas for new team activities?,benefits/getting_together.md,1,2.0,guides/chalet_time_policy.md,"[""guides/chalet_time_policy.md"", ""benefits/getting_together.md"", ""team-norms/principles.md"", ""guides/buddy_guidance.md"", ""benefits/hybrid_working.md""]",hybrid_0.5
What is the main goal behind hosting those big biannual parties?,benefits/getting_together.md,1,1.0,benefits/getting_together.md,"[""benefits/getting_together.md"", ""benefits/hybrid_working.md"", ""team-norms/principles.md"", ""guides/hiring/career_fairs.md"", ""roles/head_of_service_line.md""]",hybrid_0.5
How does the company handle alcohol at events to ensure everyone feels comfortable?,benefits/getting_together.md,1,2.0,guides/office/kitchen.md,"[""guides/office/kitchen.md"", ""benefits/getting_together.md"", ""guides/security/office_visitors.md"", ""guides/process/people/capability_procedure.md"", ""guides/welfare/leave-and-time-off.md""]",hybrid_0.5
Where can I look to learn about the best practices for staying secure when using AI tools?,guides/ai/start_here.md,1,1.0,guides/ai/start_here.md,"[""guides/ai/start_here.md"", ""guides/security/office_visitors.md"", ""roles/principal_security_engineer.md"", ""roles/lead_security_engineer.md"", ""guides/security/device_profiles.md""]",hybrid_0.5
"If I know of an AI resource that is missing from this list, how can I contribute?",guides/ai/start_here.md,1,1.0,guides/ai/start_here.md,"[""guides/ai/start_here.md"", ""roles/sfia (legacy)/associate_software_engineer.md"", ""guides/it/Miro.md"", ""guides/security/last_day.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_have_got_our_eye_on.md""]",hybrid_0.5
Which Slack channels should I join if I want to connect with other people interested in AI?,guides/ai/start_here.md,1,3.0,guides/it/slack.md,"[""guides/it/slack.md"", ""benefits/lunchers.md"", ""guides/ai/start_here.md"", ""guides/mentorship/mentors/README.md"", ""guides/equality-diversity-and-inclusion/about-open-and-closed-community.md""]",hybrid_0.5
Where can I find instructions on how to get the Claude API configured for my personal work?,guides/ai/start_here.md,1,2.0,guides/it/vpn/README.md,"[""guides/it/vpn/README.md"", ""guides/ai/start_here.md"", ""guides/cloud/aws_partner_certs.md"", ""guides/process/scheduling/hiring_contractors.md"", ""roles/lead_designer.md""]",hybrid_0.5
Are there specific training materials or structured learning paths available for technical architecture?,guides/ai/start_here.md,1,2.0,guides/learning/README.md,"[""guides/learning/README.md"", ""guides/ai/start_here.md"", ""communities-of-practice/cloud-and-engineering/book-club/library/books_we_recommend.md"", ""guides/mentorship/mentors/README.md"", ""guides/process/mentoring/supporting_and_mentoring_other_engineers.md""]",hybrid_0.5
What is the maximum amount I can spend on new gadgets through the TechScheme?,benefits/help_to_buy_tech.md,1,1.0,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""benefits/work_ready.md"", ""benefits/cycle_to_work_scheme.md"", ""guides/compensation/expenses.md"", ""guides/it/Hardware.md""]",hybrid_0.5
How long do I have to pay back the cost of the items I bought?,benefits/help_to_buy_tech.md,1,2.0,benefits/season_ticket_loan.md,"[""benefits/season_ticket_loan.md"", ""benefits/help_to_buy_tech.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/it/laptop_replacements.md"", ""benefits/work_ready.md""]",hybrid_0.5
Where exactly can I find the employer code I need to start my application?,benefits/help_to_buy_tech.md,0,,benefits/cycle_to_work_scheme.md,"[""benefits/cycle_to_work_scheme.md"", ""guides/onboarding.md"", ""guides/policy/dealing_code_policy.md"", ""guides/hiring/referral_policy.md"", ""guides/process/scheduling/hiring_contractors.md""]",hybrid_0.5
"If I decide to quit my job, how does that affect the money I still owe for my tech?",benefits/help_to_buy_tech.md,1,1.0,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""guides/welfare/parental_leave.md"", ""guides/line-management/probation.md"", ""guides/exit_interviews.md"", ""benefits/season_ticket_loan.md""]",hybrid_0.5
Do I actually own the devices I buy or does the company keep them until I finish payments?,benefits/help_to_buy_tech.md,1,2.0,guides/security/bring_your_own_device.md,"[""guides/security/bring_your_own_device.md"", ""benefits/help_to_buy_tech.md"", ""guides/it/laptop_replacements.md"", ""guides/security/lost_or_stolen.md"", ""benefits/work_ready.md""]",hybrid_0.5
How many days should I be heading into the office each month if I'm not client-facing?,benefits/hybrid_working.md,0,,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""benefits/taking_holiday.md"", ""guides/chalet_time_policy.md"", ""benefits/work_ready.md"", ""guides/compensation/salary_pay_slips.md""]",hybrid_0.5
"If I want to work from a coffee shop, what should I keep in mind regarding security and sensitive info?",benefits/hybrid_working.md,0,,guides/security/office_visitors.md,"[""guides/security/office_visitors.md"", ""guides/security/security_clearance_guidance.md"", ""guides/office/clear_desk_clear_screen.md"", ""guides/security/data_protection.md"", ""roles/principal_security_engineer.md""]",hybrid_0.5
Can I claim travel expenses if I'm commuting to my designated regional office?,benefits/hybrid_working.md,0,,guides/compensation/expenses.md,"[""guides/compensation/expenses.md"", ""guides/Relocation.md"", ""benefits/private_medical_insurance.md"", ""benefits/taking_holiday.md"", ""guides/security/document_sharing.md""]",hybrid_0.5
What's the process for getting approval to work from another country for a couple of weeks?,benefits/hybrid_working.md,0,,benefits/flexible_working.md,"[""benefits/flexible_working.md"", ""guides/security/taking-mt-laptops-abroad.md"", ""guides/onboarding.md"", ""guides/Relocation.md"", ""guides/jury_service.md""]",hybrid_0.5
Who should I talk to if I have personal reasons that make coming into the office difficult?,benefits/hybrid_working.md,0,,guides/welfare/raising_an_issue.md,"[""guides/welfare/raising_an_issue.md"", ""guides/security/office_visitors.md"", ""guides/hiring/pairing.md"", ""guides/office/officehandbook.md"", ""guides/onboarding.md""]",hybrid_0.5
What percentage of my pay will I get if I'm too sick to work?,benefits/income_protection_and_life_insurance.md,1,2.0,guides/welfare/sick_leave.md,"[""guides/welfare/sick_leave.md"", ""benefits/income_protection_and_life_insurance.md"", ""guides/welfare/expectation_health_check.md"", ""benefits/work_ready.md"", ""guides/compensation/salary_pay_slips.md""]",hybrid_0.5
How long do I have to wait before the disability payments kick in?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/compensation/salary_pay_slips.md"", ""guides/welfare/parental_leave.md"", ""guides/jury_service.md"", ""guides/onboarding.md""]",hybrid_0.5
Who actually decides if my health situation qualifies for these benefits?,benefits/income_protection_and_life_insurance.md,0,,guides/welfare/expectation_health_check.md,"[""guides/welfare/expectation_health_check.md"", ""benefits/Unum_Help_at_hand.md"", ""benefits/private_medical_insurance.md"", ""guides/process/people/capability_procedure.md"", ""guides/welfare/paid_counselling.md""]",hybrid_0.5
Is there a limit on how long the disability coverage lasts?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/it/laptop_replacements.md"", ""guides/jury_service.md"", ""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md""]",hybrid_0.5
How much money would my family receive if I passed away while employed?,benefits/income_protection_and_life_insurance.md,1,1.0,benefits/income_protection_and_life_insurance.md,"[""benefits/income_protection_and_life_insurance.md"", ""guides/welfare/parental_leave.md"", ""guides/welfare/paid_counselling.md"", ""benefits/season_ticket_loan.md"", ""benefits/pension_scheme.md""]",hybrid_0.5
How exactly do I get picked for the free monthly team meals?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""benefits/getting_together.md"", ""guides/office/kitchen.md"", ""benefits/season_ticket_loan.md"", ""guides/welfare/paid_counselling.md""]",hybrid_0.5
Is it possible to expense my food if my name wasn't on the list?,benefits/lunchers.md,1,3.0,guides/office/kitchen.md,"[""guides/office/kitchen.md"", ""guides/compensation/expenses.md"", ""benefits/lunchers.md"", ""guides/security/data_protection.md"", ""benefits/work_ready.md""]",hybrid_0.5
What should I do if I get picked but can't actually make it that day?,benefits/lunchers.md,1,3.0,benefits/help_to_buy_tech.md,"[""benefits/help_to_buy_tech.md"", ""benefits/taking_holiday.md"", ""benefits/lunchers.md"", ""guides/jury_service.md"", ""guides/compensation/salary_pay_slips.md""]",hybrid_0.5
Where can I find the specific dates for when these group meals are happening?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""guides/welfare/leave-and-time-off.md"", ""guides/office/kitchen.md"", ""benefits/getting_together.md"", ""guides/process/scheduling/how_scheduling_works.md""]",hybrid_0.5
Who should I reach out to if I need more details about the lunch program?,benefits/lunchers.md,1,1.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""guides/welfare/paid_counselling.md"", ""benefits/getting_together.md"", ""guides/process/scheduling/how_scheduling_works.md"", ""guides/office/kitchen.md""]",hybrid_0.5
How do I change how much I put into my pension pot?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_reviews.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/help_to_buy_tech.md"", ""guides/compensation/expenses.md""]",hybrid_0.5
Is there a way to start my pension contributions before the three-month waiting period ends?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/taking_holiday.md"", ""benefits/season_ticket_loan.md""]",hybrid_0.5
Does the company match my payments regardless of my grade level?,benefits/pension_scheme.md,1,1.0,benefits/pension_scheme.md,"[""benefits/pension_scheme.md"", ""guides/compensation/salary_pay_slips.md"", ""benefits/season_ticket_loan.md"", ""guides/compensation/salary_reviews.md"", ""benefits/private_medical_insurance.md""]",hybrid_0.5
"If I decide to stop being part of the scheme, how do I go about opting out?",benefits/pension_scheme.md,1,5.0,guides/welfare/ethical_boundaries.md,"[""guides/welfare/ethical_boundaries.md"", ""communities-of-practice/cloud-and-engineering/book-club/edge-value-driven-digital-transformation.md"", ""guides/equality-diversity-and-inclusion/policy.md"", ""benefits/help_to_buy_tech.md"", ""benefits/pension_scheme.md""]",hybrid_0.5
Are there any limits on how much I can contribute from my paycheck each month?,benefits/pension_scheme.md,0,,guides/compensation/salary_pay_slips.md,"[""guides/compensation/salary_pay_slips.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/cycle_to_work_scheme.md"", ""guides/compensation/salary_reviews.md"", ""benefits/season_ticket_loan.md""]",hybrid_0.5
Who should I reach out to if I run into any issues during my first few weeks here?,company/welcome_pack.md,1,4.0,guides/onboarding.md,"[""guides/onboarding.md"", ""benefits/getting_together.md"", ""guides/welfare/expectation_health_check.md"", ""company/welcome_pack.md"", ""guides/welfare/raising_an_issue.md""]",hybrid_0.5
How often will I be sitting down with my manager to discuss how I'm doing and my future growth?,company/welcome_pack.md,0,,guides/line-management/annual_reviews.md,"[""guides/line-management/annual_reviews.md"", ""guides/line-management/121s.md"", ""guides/line-management/README.md"", ""guides/line-management/probation.md"", ""guides/line-management/promotions.md""]",hybrid_0.5
"Am I expected to participate in the Friday showcases right away, or should I wait until I'm more settled?",company/welcome_pack.md,1,2.0,benefits/lunchers.md,"[""benefits/lunchers.md"", ""company/welcome_pack.md"", ""benefits/getting_together.md"", ""guides/mentorship/mentees/README.md"", ""guides/hiring/career_fairs.md""]",hybrid_0.5
Where exactly can I find the checklist of tasks I need to complete for my orientation?,company/welcome_pack.md,0,,roles/sfia (legacy)/lead_content_designer.md,"[""roles/sfia (legacy)/lead_content_designer.md"", ""guides/welfare/dse_hs_training.md"", ""guides/process/people/capability_procedure.md"", ""roles/practice_head_application_platform_support.md"", ""guides/process/scheduling/how_scheduling_works.md""]",hybrid_0.5
Are there specific security settings or tools I need to have enabled for the accounts I'm using?,company/welcome_pack.md,0,,guides/security/device_profiles.md,"[""guides/security/device_profiles.md"", ""guides/cloud/aws_sandbox.md"", ""guides/security/access_control.md"", ""guides/security/bring_your_own_device.md"", ""guides/security/password_policy.md""]",hybrid_0.5
Which staff levels are eligible to sign up for the BUPA medical coverage?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""guides/onboarding.md"", ""guides/welfare/paid_counselling.md"", ""guides/welfare/expectation_health_check.md"", ""roles/sfia (legacy)/mid_software_engineer.md""]",hybrid_0.5
Is the private insurance plan considered a taxable perk by the tax office?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""guides/compensation/expenses.md"", ""benefits/income_protection_and_life_insurance.md"", ""guides/compensation/salary_reviews.md"", ""guides/security/data_protection.md""]",hybrid_0.5
Do I need to report this health insurance benefit on my P11D form?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""benefits/income_protection_and_life_insurance.md"", ""benefits/Unum_Help_at_hand.md"", ""guides/welfare/paid_counselling.md"", ""benefits/work_ready.md""]",hybrid_0.5
Does the medical policy handle the full process from initial diagnosis to the actual treatment?,benefits/private_medical_insurance.md,1,3.0,guides/process/people/capability_procedure.md,"[""guides/process/people/capability_procedure.md"", ""guides/welfare/expectation_health_check.md"", ""benefits/private_medical_insurance.md"", ""benefits/Unum_Help_at_hand.md"", ""team-norms/delivery_healthcheck.md""]",hybrid_0.5
Are employees below the Lead or Principal grade allowed to opt into the private healthcare scheme?,benefits/private_medical_insurance.md,1,1.0,benefits/private_medical_insurance.md,"[""benefits/private_medical_insurance.md"", ""roles/sfia (legacy)/ucd_principal.md"", ""benefits/pension_scheme.md"", ""guides/welfare/expectation_health_check.md"", ""guides/policy/anti_corruption_and_bribery_policy.md""]",hybrid_0.5
